ID,Name,Is_free,Is_PVP,Genre_Acción,Genre_Aventura,Genre_Carreras,Genre_Casual,Genre_Deportes,Genre_Estrategia,Genre_Indie,Genre_Multijugador masivo,Genre_Rol,Genre_Simuladores,Mixed,Multijugador,Un jugador,Gano_GOTY
290340,Armello,False,True,0,1,0,0,0,1,1,0,1,0,False,False,True,False
291650,Pillars of Eternity,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,False
292030,The Witcher 3: Wild Hunt,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,True
294100,RimWorld,False,False,0,0,0,0,0,1,1,0,0,1,False,False,True,False
298110,Far Cry® 4,False,False,1,1,0,0,0,0,0,0,0,0,True,False,False,False
298630,The Escapists,False,False,1,1,0,0,0,1,1,0,0,1,False,False,True,False
302510,Ryse: Son of Rome,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
304240,Resident Evil,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
304390,FOR HONOR™,False,True,1,0,0,0,0,0,0,0,0,0,True,False,False,False
304430,INSIDE,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
306130,The Elder Scrolls® Online,False,True,1,1,0,0,0,0,0,1,1,0,False,True,False,False
307780,Mortal Kombat X,False,True,1,0,0,0,0,0,0,0,0,0,False,False,True,False
310950,Street Fighter V,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
311210,Call of Duty®: Black Ops III,False,False,1,1,0,0,0,0,0,0,0,0,True,False,False,False
311340,METAL GEAR SOLID V: GROUND ZEROES,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
311560,Assassin’s Creed® Rogue,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
311690,Enter the Gungeon,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
312520,Rain World,False,True,1,1,0,0,0,0,1,0,0,0,False,False,True,False
312530,Duck Game,False,True,1,0,0,0,0,0,1,0,0,0,False,False,True,False
312660,Sniper Elite 4,False,False,1,1,0,0,0,0,0,0,0,0,True,False,False,False
313160,Farming Simulator 15,False,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False
319510,Five Nights at Freddy's,False,False,0,0,0,0,0,0,1,0,0,1,False,False,True,False
322330,Don't Starve Together,False,True,1,1,0,0,0,1,1,0,1,1,True,False,False,False
322500,SUPERHOT,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
324800,Shadow Warrior 2,False,False,1,1,0,0,0,0,0,0,0,0,True,False,False,False
325610,Total War: ATTILA,False,True,0,0,0,0,0,1,0,0,0,0,True,False,False,False
327030,Worms W.M.D,False,True,1,0,0,0,0,1,0,0,0,0,False,False,True,False
332800,Five Nights at Freddy's 2,False,False,0,0,0,0,0,0,1,0,0,0,False,False,True,False
335300,DARK SOULS™ II: Scholar of the First Sin,False,False,1,0,0,0,0,0,0,0,1,0,True,False,False,False
335670,LISA: The Painful,False,False,0,1,0,0,0,0,1,0,1,0,False,False,True,False
341800,Keep Talking and Nobody Explodes,False,False,0,0,0,0,0,0,1,0,0,0,False,True,False,False
341940,Hatred,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
346110,ARK: Survival Evolved,False,False,1,1,0,0,0,0,1,1,1,0,True,False,False,False
350640,Sherlock Holmes: The Devil's Daughter,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
356570,Party Hard,False,False,1,0,0,0,0,1,1,0,0,0,True,False,False,False
359320,Elite Dangerous,False,False,1,1,0,0,0,1,0,1,1,1,True,False,False,False
362680,Fran Bow,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
362890,Black Mesa,False,True,1,1,0,0,0,0,1,0,0,0,False,False,True,False
362960,Tyranny,False,False,0,1,0,0,0,0,0,0,1,0,False,False,True,False
365360,Battle Brothers,False,False,0,0,0,0,0,1,0,0,1,1,False,False,True,False
365450,Hacknet,False,False,0,0,0,0,0,0,1,0,0,1,False,False,True,False
368340,CrossCode,False,False,1,1,0,0,0,0,1,0,1,0,False,False,True,False
368500,Assassin's Creed® Syndicate,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
373420,Divinity: Original Sin - Enhanced Edition,False,False,0,1,0,0,0,1,1,0,1,0,True,False,False,False
374040,Portal Knights,False,False,1,1,0,0,0,0,0,0,1,0,True,False,False,False
374320,DARK SOULS™ III,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
379430,Kingdom Come: Deliverance,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
379720,DOOM,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
383870,Firewatch,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
384190,ABZU,False,False,0,1,0,1,0,0,1,0,0,1,False,False,True,False
387290,Ori and the Blind Forest: Definitive Edition,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
388090,Five Nights at Freddy's 4,False,False,1,0,0,0,0,1,1,0,0,0,False,False,True,False
388880,Oxenfree,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
389730,TEKKEN 7,False,True,1,0,0,0,1,0,0,0,0,0,False,False,True,False
391220,Rise of the Tomb Raider™,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
391540,Undertale,False,False,0,0,0,0,0,0,1,0,1,0,False,False,True,False
391720,Layers of Fear (2016),False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
392110,ENDLESS™ Space 2,False,True,0,0,0,0,0,1,0,0,0,0,False,False,True,False
